dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
541,REVIEW,review_threshold,СПК Матча латте пряная с соев.нап.,матча латте пряная с соев нап,31.8,0.5,0.8,5.7,400,True,2013817,78036403,"Латте Пряная матча, 200мл",100,34.5,200,0.862,False,2013818,78036404,"Латте Пряная матча, 400 мл",0.857,1800452,78035069,"Матча Латте, 400мл",0.764
544,REVIEW,review_threshold,СПК Чай латте пряный с кокосов.нап.,чай латте пряный с кокосов нап,35.8,0.1,1.5,5.4,400,True,1407299,78031250,"Латте, 400мл",100,44.3,0,0.823,False,1590556,78034443,"Латте, 400мл",0.801,1589323,78034441,"Латте, 200мл",0.801
545,REVIEW,review_threshold,СПК Чай латте пряный с миндал.нап.,чай латте пряный с миндал нап,31.8,0.5,0.8,5.7,200,True,1407299,78031250,"Латте, 400мл",100,44.7,200,0.821,False,1590556,78034443,"Латте, 400мл",0.780,1589323,78034441,"Латте, 200мл",0.780
546,REVIEW,review_threshold,СПК Чай латте пряный с миндал.нап.,чай латте пряный с миндал нап,31.8,0.5,0.8,5.7,400,True,1407299,78031250,"Латте, 400мл",100,44.7,0,0.821,False,1590556,78034443,"Латте, 400мл",0.780,1589323,78034441,"Латте, 200мл",0.780
548,REVIEW,review_threshold,СПК Чай латте пряный с овсяным нап.,чай латте пряный с овсяным нап,56.1,0.3,2.1,9.1,400,True,2067029,78036420,Чай латте пряный с овсяным напитком 400мл,93,0.0,0,0.957,False,1590556,78034443,"Латте, 400мл",0.822,1589323,78034441,"Латте, 200мл",0.822
550,REVIEW,review_threshold,СПК Чай латте пряный с соевым нап.,чай латте пряный с соевым нап,52.8,2.7,2.3,5.3,400,True,2027916,78036421,Чай латте пряный с соевым напитком 200мл,93,0.0,200,0.956,False,1590556,78034443,"Латте, 400мл",0.952,1589323,78034441,"Латте, 200мл",0.952
559,REVIEW,review_threshold,СПК Чай ЛАТТЕ пряный с кокос.нап.,чай латте пряный с кокос нап,35.8,0.1,1.5,5.4,200,True,1590556,78034443,"Латте, 400мл",100,49.8,200,0.801,False,1589323,78034441,"Латте, 200мл",0.801,2025500,78036742,"Латте, 400мл",0.738
561,REVIEW,review_threshold,СПК Латте СЕЛЕКТ,латте селект,92,4.3,4.5,8.5,400,True,2025500,78036742,"Латте, 400мл",100,0.0,0,1.000,False,1407299,78031250,"Латте, 400мл",0.838,1590556,78034443,"Латте, 400мл",0.826
575,REVIEW,review_threshold,СПК Основа МОККО ром,основа мокко ром,305,5,9,51,15,True,2151147,78037559,Основа Мокко Ром 45г,100,0.0,30,1.000,True,2115658,78037430,Основа Мокко ром 15г,1.000,2113422,78037431,Основа Мокко ром 30г,0.820
578,REVIEW,review_threshold,СПК Изотоник зеленый виног.бер.сок.,изотоник зеленый виног бер сок,72,0.2,0,17.8,350,True,2116477,78037439,"Изотоник зеленый виноград с березовым соком, 350мл",82,0.0,0,0.893,True,1621919,78035084,"Чай зелёный, 400мл",0.569,1429767,4187802,"Морс Вишневый Зелёная Линия, 500мл",0.533
588,REVIEW,review_threshold,СПК Раф соленая карамель с орех.XL,раф соленая карамель с орех xl,85.3,2.4,3.7,10.6,550,True,2125274,78037600,"Раф соленая карамель с орехами XL, 550мл",95,0.0,0,0.971,False,1838834,78035830,"Раф Соленая Карамель с орехами, 200мл",0.940,1838831,78035831,"Раф соленая карамель с орехами, 400мл",0.940
591,REVIEW,review_threshold,СПК Американо,американо,14,0.8,0.8,0.9,200,True,1590851,78034434,"Американо, 200мл",100,0.0,0,1.000,False,1590126,78034436,"Американо, 400мл",0.903,2015855,78036382,"Айс американо, 350мл",0.748
593,REVIEW,review_threshold,СПК Капучино,капучино,55.1,2.8,3.1,4,200,True,1589321,78034438,"Капучино, 200мл",100,0.0,0,1.000,False,1589271,78034440,"Капучино, 400мл",0.986,1612051,78034879,"Кофе Капучино, 200мл",0.950
594,REVIEW,review_threshold,СПК Капучино,капучино,52.9,2.7,2.9,4,400,True,1589271,78034440,"Капучино, 400мл",100,0.0,0,1.000,False,1589321,78034438,"Капучино, 200мл",0.986,1612051,78034879,"Кофе Капучино, 200мл",0.948
597,REVIEW,review_threshold,СПК Флэт уайт,флэт уайт,50.4,2.6,2.8,3.7,200,True,1620040,78034881,"Кофе Флэт Уайт, 200мл",100,15.4,0,0.939,True,1800459,78034956,"Флэт уайт с соевым напитком, 200мл",0.884,1625444,78034955,"Флэт уайт с овсяным напитком, 200мл",0.884
